date,Temp,Humidity,Light,CO2,HumidityRatio,syn_temp,Wind_speed,HDD,occupancy
2/2/2015 14:19,23.7,26.272,585.2,749.2,0.00476,1.73,6.42,0.67792,1
2/2/2015 14:19,23.718,26.29,578.4,760.4,0.00477,1.73,6.42,0.67792,1
2/2/2015 14:21,23.73,26.23,572.66667,769.66667,0.00477,1.73,6.42,0.67792,1
2/2/2015 14:22,23.7225,26.125,493.75,774.75,0.00474,1.73,6.42,0.67792,1
2/2/2015 14:23,23.754,26.2,488.6,779,0.00477,1.73,6.42,0.67792,1
2/2/2015 14:23,23.76,26.26,568.66667,790,0.00478,1.73,6.42,0.67792,1
2/2/2015 14:25,23.73,26.29,536.33333,798,0.00478,1.73,6.42,0.67792,1
2/2/2015 14:25,23.754,26.29,509,797,0.00478,1.73,6.42,0.67792,1
2/2/2015 14:26,23.754,26.35,476,803.2,0.00479,1.73,6.42,0.67792,1
2/2/2015 14:28,23.736,26.39,510,809,0.0048,1.73,6.42,0.67792,1
2/2/2015 14:29,23.745,26.445,481.5,815.25,0.00481,1.73,6.42,0.67792,1
2/2/2015 14:30,23.7,26.56,481.8,824,0.00482,1.73,6.42,0.67792,1
2/2/2015 14:31,23.7,26.6,475.25,832,0.00482,1.73,6.42,0.67792,1
2/2/2015 14:31,23.7,26.7,469,845.33333,0.00484,1.73,6.42,0.67792,1
2/2/2015 14:32,23.7,26.774,464,852.4,0.00486,1.73,6.42,0.67792,1
2/2/2015 14:34,23.7,26.89,464,861,0.00488,1.73,6.42,0.67792,1
2/2/2015 14:35,23.7,26.9725,455,880,0.00489,1.73,6.42,0.67792,1
2/2/2015 14:36,23.6,26.89,454,891,0.00485,1.73,6.42,0.67792,1
2/2/2015 14:37,23.64,26.976,458,897.6,0.00488,1.73,6.42,0.67792,1
2/2/2015 14:38,23.65,27.05,464,900.5,0.00489,1.73,6.42,0.67792,1
2/2/2015 14:38,23.64,27.1,473,908.8,0.0049,1.73,6.42,0.67792,1
2/2/2015 14:39,23.6,27.16,464,918,0.0049,1.73,6.42,0.67792,1
2/2/2015 14:41,23.6,27.236,498.4,925.2,0.00491,1.73,6.42,0.67792,1
2/2/2015 14:42,23.6,27.29,530.2,929.4,0.00492,1.73,6.42,0.67792,1
2/2/2015 14:43,23.6,27.33,533.6,936.4,0.00493,-0.74,4.09,0.78083,1
2/2/2015 14:44,23.6,27.34,524.25,950,0.00493,-0.74,4.09,0.78083,1
2/2/2015 14:44,23.625,27.3925,498.66667,961,0.00495,-0.74,4.09,0.78083,1
2/2/2015 14:45,23.6,27.39,516.33333,963,0.00494,-0.74,4.09,0.78083,1
2/2/2015 14:47,23.6,27.412,501.2,958.6,0.00494,-0.74,4.09,0.78083,1
2/2/2015 14:48,23.6,27.5,522,965.33333,0.00496,-0.74,4.09,0.78083,1
2/2/2015 14:49,23.6,27.525,520.5,979.25,0.00496,-0.74,4.09,0.78083,1
2/2/2015 14:50,23.6,27.6,505.28571,978.42857,0.00498,-0.74,4.09,0.78083,1
2/2/2015 14:51,23.6,27.6,488.33333,983,0.00498,-0.74,4.09,0.78083,1
2/2/2015 14:51,23.6,27.54,512,992.6,0.00497,-0.74,4.09,0.78083,1
2/2/2015 14:53,23.6,27.6,511,997.2,0.00498,-0.74,4.09,0.78083,1
2/2/2015 14:54,23.61667,27.63333,501.5,999.5,0.00499,-0.74,4.09,0.78083,1
2/2/2015 14:55,23.66667,27.7,503.66667,1001,0.00502,-0.74,4.09,0.78083,1
2/2/2015 14:55,23.6,27.7,483.16667,1009.5,0.00499,-0.74,4.09,0.78083,1
2/2/2015 14:57,23.6,27.7225,483.5,1019,0.005,-0.74,4.09,0.78083,1
2/2/2015 14:57,23.6,27.79,473,1021,0.00501,-0.74,4.09,0.78083,1
2/2/2015 14:58,23.6,27.85667,470.33333,1024.66667,0.00502,-0.74,4.09,0.78083,1
2/2/2015 15:00,23.6,27.80429,480.14286,1030.42857,0.00501,-0.74,4.09,0.78083,1
2/2/2015 15:01,23.575,27.79,464,1026.25,0.005,-0.74,4.09,0.78083,1
2/2/2015 15:02,23.54,27.81,474.4,1028,0.005,-0.74,4.09,0.78083,1
2/2/2015 15:03,23.6,27.978,470,1034.8,0.00505,-0.74,4.09,0.78083,1
2/2/2015 15:04,23.525,28,454,1055.5,0.00503,-0.74,4.09,0.78083,1
2/2/2015 15:04,23.5,27.978,454,1055.25,0.00501,-0.74,4.09,0.78083,1
2/2/2015 15:06,23.5,28,454,1050,0.00502,-0.74,4.09,0.78083,1
2/2/2015 15:07,23.5,28,454,1051.25,0.00502,-0.95,2.01,0.78958,1
2/2/2015 15:08,23.5,28,445,1053.6,0.00502,-0.95,2.01,0.78958,1
2/2/2015 15:08,23.5,28,439,1055.5,0.00502,-0.95,2.01,0.78958,1
2/2/2015 15:10,23.5,28.025,444.25,1055,0.00502,-0.95,2.01,0.78958,1
2/2/2015 15:10,23.445,28.125,454.75,1059.5,0.00502,-0.95,2.01,0.78958,1
2/2/2015 15:11,23.39,28.18,455.8,1060,0.00502,-0.95,2.01,0.78958,1
2/2/2015 15:13,23.39,28.2,451.6,1073.6,0.00502,-0.95,2.01,0.78958,1
2/2/2015 15:14,23.39,28.2,451.6,1078.6,0.00502,-0.95,2.01,0.78958,1
2/2/2015 15:15,23.39,28.2,454.75,1081,0.00502,-0.95,2.01,0.78958,1
2/2/2015 15:16,23.39,28.2225,454.75,1082,0.00503,-0.95,2.01,0.78958,1
2/2/2015 15:16,23.39,28.37333,457.5,1088.83333,0.00505,-0.95,2.01,0.78958,1
2/2/2015 15:17,23.37,28.39,464,1090.6,0.00505,-0.95,2.01,0.78958,1
2/2/2015 15:19,23.39,28.32333,464,1086,0.00504,-0.95,2.01,0.78958,1
